PNratio,BagSizePercentage,MaxDepth,NumTree,F-measure,Denbora
10,1,1,10,0.5641025641025641,113650200
10,1,1,11,0.608695652173913,110450800
10,1,1,12,0.5853658536585366,115145600
10,1,1,13,0.608695652173913,62842200
10,1,1,14,0.5365853658536585,50281200
10,1,1,15,0.608695652173913,47989300
10,1,1,16,0.5581395348837209,49896200
10,1,1,17,0.5909090909090908,52333400
10,1,1,18,0.6,64714100
10,1,1,19,0.5777777777777778,96748700
10,1,1,20,0.5641025641025641,64644900
10,1,1,21,0.6511627906976744,55573200
10,1,1,22,0.55,63833200
10,1,1,23,0.5714285714285713,57732900
10,1,1,24,0.5853658536585366,66274100
10,1,1,25,0.6190476190476191,70802300
10,1,1,26,0.5853658536585366,117722200
10,1,1,27,0.6363636363636365,75577800
10,1,1,28,0.6190476190476191,81848000
10,1,1,29,0.6511627906976744,75845500
10,1,1,30,0.6511627906976744,75838000
10,1,1,31,0.6666666666666665,101718600
10,1,1,32,0.6046511627906976,132346500
10,1,1,33,0.6956521739130435,78456700
10,1,1,34,0.6818181818181818,85123600
11,1,1,10,0.5714285714285713,33469400
11,1,1,11,0.6382978723404256,29968900
11,1,1,12,0.5238095238095238,30072800
11,1,1,13,0.5777777777777778,51529400
11,1,1,14,0.5581395348837209,61388900
11,1,1,15,0.5957446808510639,69809700
11,1,1,16,0.5957446808510639,54512000
11,1,1,17,0.5957446808510639,42089700
11,1,1,18,0.608695652173913,58693400
11,1,1,19,0.5957446808510639,44530800
11,1,1,20,0.5957446808510639,44764500
11,1,1,21,0.6530612244897959,44791800
11,1,1,22,0.5454545454545454,40631100
11,1,1,23,0.5652173913043479,48155800
11,1,1,24,0.5581395348837209,70324700
11,1,1,25,0.5581395348837209,80668700
11,1,1,26,0.5,53241600
11,1,1,27,0.5581395348837209,50903800
11,1,1,28,0.5238095238095238,62689600
11,1,1,29,0.5333333333333332,64540300
11,1,1,30,0.5581395348837209,74182500
11,1,1,31,0.5652173913043479,78250800
11,1,1,32,0.5652173913043479,112780300
11,1,1,33,0.5416666666666667,72426900
11,1,1,34,0.5416666666666667,82320100
12,1,1,10,0.6122448979591838,25941000
12,1,1,11,0.64,30407600
12,1,1,12,0.553191489361702,29701800
12,1,1,13,0.5882352941176471,30163800
12,1,1,14,0.5957446808510639,47184100
12,1,1,15,0.6,35126700
12,1,1,16,0.6222222222222222,45414200
12,1,1,17,0.6808510638297872,72494700
12,1,1,18,0.6046511627906976,53942400
12,1,1,19,0.608695652173913,40613400
12,1,1,20,0.6222222222222222,53084900
12,1,1,21,0.6666666666666666,57865000
12,1,1,22,0.6666666666666666,51172400
12,1,1,23,0.6666666666666666,59855900
12,1,1,24,0.6666666666666666,58386600
12,1,1,25,0.6530612244897959,76024000
12,1,1,26,0.6250000000000001,77231300
12,1,1,27,0.6250000000000001,53526700
12,1,1,28,0.5957446808510639,52023900
12,1,1,29,0.6250000000000001,62588600
12,1,1,30,0.6382978723404256,60880000
12,1,1,31,0.6666666666666666,59370900
12,1,1,32,0.6382978723404256,62065800
12,1,1,33,0.6666666666666666,88355100
12,1,1,34,0.6666666666666666,87628300
13,1,1,10,0.5217391304347826,27048200
13,1,1,11,0.5106382978723405,29683600
13,1,1,12,0.5581395348837209,41431700
13,1,1,13,0.5777777777777778,48750500
13,1,1,14,0.5909090909090908,37840300
13,1,1,15,0.608695652173913,35197200
13,1,1,16,0.6190476190476191,39127200
13,1,1,17,0.6666666666666665,34392900
13,1,1,18,0.6190476190476191,35334300
13,1,1,19,0.6956521739130435,57163200
13,1,1,20,0.6363636363636365,68961400
13,1,1,21,0.6666666666666665,54033500
13,1,1,22,0.5853658536585366,43232400
13,1,1,23,0.6808510638297872,41849900
13,1,1,24,0.6818181818181818,43964300
13,1,1,25,0.6666666666666665,62845400
13,1,1,26,0.6829268292682926,52563800
13,1,1,27,0.6666666666666666,52423800
13,1,1,28,0.6341463414634146,78353800
13,1,1,29,0.6976744186046512,92508200
13,1,1,30,0.7142857142857143,61704400
13,1,1,31,0.6521739130434783,62209400
13,1,1,32,0.6511627906976744,59319800
13,1,1,33,0.6666666666666665,64001100
13,1,1,34,0.6046511627906976,63142200
14,1,1,10,0.5333333333333332,18708400
14,1,1,11,0.6530612244897959,25599800
14,1,1,12,0.608695652173913,35478700
14,1,1,13,0.64,45241800
14,1,1,14,0.5365853658536585,49591200
14,1,1,15,0.608695652173913,35727700
14,1,1,16,0.5454545454545454,31551500
14,1,1,17,0.553191489361702,36968700
14,1,1,18,0.5652173913043479,33997500
14,1,1,19,0.56,35544600
14,1,1,20,0.5833333333333334,35770800
14,1,1,21,0.5833333333333334,40334800
14,1,1,22,0.5581395348837209,39966300
14,1,1,23,0.5333333333333332,46065200
14,1,1,24,0.5238095238095238,43288800
14,1,1,25,0.5333333333333332,77605400
14,1,1,26,0.5581395348837209,67240500
14,1,1,27,0.5581395348837209,48799300
14,1,1,28,0.5581395348837209,54100700
14,1,1,29,0.5581395348837209,59861300
